Account Number (IBAN)
Balance
Credit
Debit
Transaction Description
Date	
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		10/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		11/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		12/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		13/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		14/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		15/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		16/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		17/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		18/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		19/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		20/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		21/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		22/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		23/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		24/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		25/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		26/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		27/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		28/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		29/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		30/10/2010		
12312313	10000	1000	10000	laksjfflfjldfjlkdsjfdlfjdkl		31/10/2010		
